"Posição 'x' e 'y' - Pata 2"

"Time      "	".MARKER_65.Translational_Displacement.X"	".MARKER_65.Translational_Displacement.Y"
0.000000e+00	3.000000e+02	1.000000e+01
1.200000e-02	3.000000e+02	1.000845e+01
2.400000e-02	3.000000e+02	1.003366e+01
3.600000e-02	3.000000e+02	1.007542e+01
4.800000e-02	3.000000e+02	1.013355e+01
6.000000e-02	2.999999e+02	1.020782e+01
7.200000e-02	2.999999e+02	1.029803e+01
8.400000e-02	2.999997e+02	1.040399e+01
9.600000e-02	2.999995e+02	1.052550e+01
1.080000e-01	2.999993e+02	1.066233e+01
1.200000e-01	2.999989e+02	1.081430e+01
1.320000e-01	2.999984e+02	1.098120e+01
1.440000e-01	2.999977e+02	1.116282e+01
1.560000e-01	2.999969e+02	1.135896e+01
1.680000e-01	2.999959e+02	1.156942e+01
1.800000e-01	2.999946e+02	1.179400e+01
1.920000e-01	2.999931e+02	1.203248e+01
2.040000e-01	2.999913e+02	1.228467e+01
2.160000e-01	2.999892e+02	1.255036e+01
2.280000e-01	2.999867e+02	1.282935e+01
2.400000e-01	2.999838e+02	1.312143e+01
2.520000e-01	2.999804e+02	1.342640e+01
2.640000e-01	2.999766e+02	1.374406e+01
2.760000e-01	2.999723e+02	1.407419e+01
2.880000e-01	2.999675e+02	1.441661e+01
3.000000e-01	2.999621e+02	1.477109e+01
3.120000e-01	2.999560e+02	1.513744e+01
3.240000e-01	2.999493e+02	1.551546e+01
3.360000e-01	2.999419e+02	1.590493e+01
3.480000e-01	2.999337e+02	1.630565e+01
3.600000e-01	2.999248e+02	1.671742e+01
3.720000e-01	2.999150e+02	1.714003e+01
3.840000e-01	2.999044e+02	1.757328e+01
3.960000e-01	2.998929e+02	1.801696e+01
4.080000e-01	2.998804e+02	1.847086e+01
4.200000e-01	2.998669e+02	1.893478e+01
4.320000e-01	2.998524e+02	1.940852e+01
4.440000e-01	2.998369e+02	1.989186e+01
4.560000e-01	2.998202e+02	2.038460e+01
4.680000e-01	2.998024e+02	2.088654e+01
4.800000e-01	2.997834e+02	2.139747e+01
4.920000e-01	2.997632e+02	2.191718e+01
5.040000e-01	2.997417e+02	2.244546e+01
5.160000e-01	2.997190e+02	2.298211e+01
5.280000e-01	2.996949e+02	2.352692e+01
5.400000e-01	2.996694e+02	2.407969e+01
5.520000e-01	2.996426e+02	2.464020e+01
5.640000e-01	2.996143e+02	2.520825e+01
5.760000e-01	2.995845e+02	2.578363e+01
5.880000e-01	2.995532e+02	2.636614e+01
6.000000e-01	2.995205e+02	2.695556e+01
6.120000e-01	2.994861e+02	2.755169e+01
6.240000e-01	2.994502e+02	2.815432e+01
6.360000e-01	2.994127e+02	2.876325e+01
6.480000e-01	2.993735e+02	2.937826e+01
6.600000e-01	2.993326e+02	2.999914e+01
6.720000e-01	2.992901e+02	3.062570e+01
6.840000e-01	2.992459e+02	3.125771e+01
6.960000e-01	2.991999e+02	3.189498e+01
7.080000e-01	2.991523e+02	3.253729e+01
7.200000e-01	2.991028e+02	3.318443e+01
7.320000e-01	2.990516e+02	3.383620e+01
7.440000e-01	2.989985e+02	3.449239e+01
7.560000e-01	2.989437e+02	3.515279e+01
7.680000e-01	2.988871e+02	3.581719e+01
7.800000e-01	2.988286e+02	3.648538e+01
7.920000e-01	2.987683e+02	3.715716e+01
8.040000e-01	2.987061e+02	3.783232e+01
8.160000e-01	2.986422e+02	3.851064e+01
8.280000e-01	2.985763e+02	3.919192e+01
8.400000e-01	2.985087e+02	3.987595e+01
8.520000e-01	2.984392e+02	4.056253e+01
8.640000e-01	2.983678e+02	4.125144e+01
8.760000e-01	2.982946e+02	4.194248e+01
8.880000e-01	2.982196e+02	4.263544e+01
9.000000e-01	2.981428e+02	4.333011e+01
9.120000e-01	2.980641e+02	4.402628e+01
9.240000e-01	2.979837e+02	4.472375e+01
9.360000e-01	2.979014e+02	4.542232e+01
9.480000e-01	2.978174e+02	4.612176e+01
9.600000e-01	2.977317e+02	4.682188e+01
9.720000e-01	2.976442e+02	4.752248e+01
9.840000e-01	2.975550e+02	4.822333e+01
9.960000e-01	2.974641e+02	4.892424e+01
1.008000e+00	2.973716e+02	4.962501e+01
1.020000e+00	2.972774e+02	5.032542e+01
1.032000e+00	2.971816e+02	5.102526e+01
1.044000e+00	2.970843e+02	5.172435e+01
1.056000e+00	2.969854e+02	5.242246e+01
1.068000e+00	2.968850e+02	5.311940e+01
1.080000e+00	2.967832e+02	5.381496e+01
1.092000e+00	2.966799e+02	5.450894e+01
1.104000e+00	2.965752e+02	5.520113e+01
1.116000e+00	2.964692e+02	5.589134e+01
1.128000e+00	2.963619e+02	5.657934e+01
1.140000e+00	2.962533e+02	5.726496e+01
1.152000e+00	2.961435e+02	5.794798e+01
1.164000e+00	2.960326e+02	5.862819e+01
1.176000e+00	2.959206e+02	5.930541e+01
1.188000e+00	2.958075e+02	5.997942e+01
1.200000e+00	2.956934e+02	6.065003e+01
1.212000e+00	2.955784e+02	6.131704e+01
1.224000e+00	2.954624e+02	6.198025e+01
1.236000e+00	2.953457e+02	6.263945e+01
1.248000e+00	2.952282e+02	6.329445e+01
1.260000e+00	2.951100e+02	6.394504e+01
1.272000e+00	2.949912e+02	6.459104e+01
1.284000e+00	2.948718e+02	6.523225e+01
